UGC05359;8.70;0.56;-0.24;0.12;0.34;0.95;8.47;0.09;1.01;0.04
UGC05396;9.00;0.29;-0.23;0.11;0.21;1.10;8.47;0.06;0.87;0.04
NGC3106;9.49;0.33;-0.23;0.15;0.12;0.79;8.51;0.05;1.08;0.03
UGC05498NED01;9.25;0.41;-0.22;0.14;0.41;1.19;8.49;0.08;1.21;0.06
NGC3160;9.20;0.48;-0.11;0.11;0.15;0.81;nan;nan;3.20;0.52
UGC05598;8.73;0.43;-0.32;0.12;0.45;1.07;8.46;0.06;1.12;0.05
NGC3303;9.54;0.20;-0.25;0.13;0.10;0.82;8.53;0.06;1.42;0.14
UGC05771;9.61;0.22;-0.24;0.15;0.08;0.50;8.50;0.06;0.52;0.22
NGC3381;8.81;0.27;-0.33;0.11;0.05;0.59;8.50;0.05;0.37;0.02
UGC06036;9.51;0.32;-0.12;0.15;0.19;0.84;8.52;0.05;1.68;0.09
IC0674;9.09;0.46;-0.25;0.14;0.26;0.85;8.47;0.07;0.58;0.02
NGC3614;9.22;0.26;-0.42;0.09;0.06;0.61;8.53;0.06;0.74;0.01
NGC3811;8.93;0.34;-0.35;0.11;0.13;0.72;8.52;0.05;0.94;0.04
NGC3991;8.31;0.46;-0.20;0.13;0.11;0.68;8.33;0.06;0.37;0.03
NGC3994;8.97;0.29;-0.29;0.15;0.18;0.90;8.49;0.05;0.99;0.06
NGC4003;9.59;0.16;-0.15;0.16;0.05;0.50;8.52;0.07;2.09;0.30
UGC07012;8.41;0.51;-0.26;0.11;0.14;0.53;8.38;0.08;0.41;0.02
NGC4149;9.15;0.60;-0.31;0.17;0.23;0.96;8.52;0.05;1.56;0.11
NGC4185;9.41;0.22;-0.28;0.11;0.03;0.55;8.53;0.06;0.87;0.01
NGC4210;9.09;0.30;-0.32;0.11;0.08;0.73;8.54;0.06;0.57;0.01
IC0776;8.34;0.54;-0.27;0.11;0.14;0.58;8.30;0.06;0.16;0.00
NGC4470;9.01;0.29;-0.38;0.14;0.10;0.81;8.46;0.05;0.48;0.01
NGC4644;8.98;0.43;-0.13;0.13;0.16;0.85;8.55;0.06;1.14;0.14
NGC4676A;9.30;0.28;-0.20;0.13;0.26;1.58;8.50;0.05;1.42;0.10
NGC4874;9.83;0.14;-0.21;0.17;0.00;0.17;nan;nan;nan;nan
UGC08107;9.16;0.35;-0.26;0.15;0.33;1.41;8.47;0.05;1.51;0.08
UGC08231;8.12;0.36;-0.26;0.12;0.10;0.43;8.27;0.07;0.14;0.01
UGC08234;9.10;0.42;-0.17;0.13;0.16;0.73;nan;nan;nan;nan
NGC5000;9.08;0.36;-0.18;0.11;0.09;0.55;8.52;0.07;1.26;0.12
UGC08250;8.65;0.46;-0.29;0.13;0.59;1.39;8.41;0.07;0.78;0.04
UGC08267;9.15;0.38;-0.22;0.10;0.48;1.43;8.53;0.05;2.16;0.11
NGC5205;8.99;0.39;-0.33;0.13;0.08;0.47;8.52;0.06;0.74;0.02
NGC5216;9.56;0.20;-0.22;0.15;0.01;0.35;8.48;0.06;0.07;0.07
UGC08733;8.75;0.37;-0.27;0.12;0.09;0.80;8.37;0.08;0.26;0.01
IC0944;9.51;0.32;-0.24;0.11;0.25;1.18;8.51;0.06;1.96;0.07
UGC08778;9.26;0.40;-0.31;0.15;0.23;0.84;8.52;0.05;1.05;0.05
UGC08781;9.29;0.27;-0.19;0.12;0.05;0.52;8.52;0.06;1.01;0.03
NGC5378;9.48;0.27;-0.27;0.12;0.08;0.75;8.50;0.06;1.12;0.04
NGC5394;9.01;0.23;-0.24;0.13;0.15;1.10;8.56;0.05;1.97;0.24
NGC5406;9.33;0.28;-0.29;0.13;0.06;0.55;8.55;0.06;0.92;0.02
NGC5485;9.78;0.12;-0.20;0.14;0.01;0.49;8.53;0.07;nan;nan
UGC09067;8.86;0.24;-0.24;0.11;0.19;0.95;8.48;0.08;1.02;0.04
NGC5520;8.71;0.33;-0.33;0.13;0.16;0.71;8.48;0.06;0.84;0.04
NGC5614;9.61;0.16;-0.37;0.15;0.18;1.34;8.53;0.05;1.71;0.16
NGC5630;8.34;0.43;-0.29;0.13;0.19;0.68;8.34;0.05;0.46;0.02
NGC5682;8.55;0.54;-0.32;0.12;0.22;0.74;8.38;0.07;0.50;0.02
NGC5720;9.12;0.44;-0.32;0.14;0.18;0.52;8.51;0.07;1.04;0.02
UGC09476;9.02;0.22;-0.36;0.10;0.13;0.79;8.51;0.05;0.73;0.02
NGC5784;9.56;0.29;-0.29;0.14;0.09;0.65;8.54;0.06;1.15;0.05
UGC09665;8.85;0.41;-0.32;0.16;0.51;1.48;8.46;0.06;1.18;0.05
NGC5888;9.44;0.28;-0.22;0.14;0.11;0.68;8.56;0.06;0.92;0.03
NGC5908;9.63;0.24;-0.36;0.17;0.30;2.16;8.53;0.05;2.14;0.05
NGC5930;9.53;0.27;-0.33;0.13;0.07;1.03;8.49;0.06;1.71;0.21
UGC09873;8.58;0.57;-0.28;0.12;0.57;1.25;8.46;0.06;1.30;0.10
UGC09892;8.97;0.43;-0.35;0.13;0.30;1.02;8.48;0.06;0.99;0.03
NGC5966;9.70;0.15;-0.25;0.15;0.01;0.33;8.50;0.06;0.81;0.81
IC4566;9.30;0.34;-0.26;0.13;0.18;0.86;8.53;0.06;1.40;0.09
NGC5987;9.54;0.49;-0.24;0.14;0.37;1.75;8.49;0.07;2.32;0.62
NGC6004;9.29;0.21;-0.34;0.11;0.10;1.03;8.57;0.05;0.80;0.02
NGC6020;9.59;0.27;-0.26;0.14;0.13;0.79;nan;nan;0.77;0.36
NGC6021;9.51;0.22;-0.21;0.14;0.05;0.43;8.52;0.07;1.91;1.91
NGC6032;8.94;0.44;-0.20;0.13;0.15;0.84;8.49;0.08;1.07;0.16
UGC10205;9.14;0.42;-0.21;0.14;0.36;1.35;8.48;0.05;2.02;0.13
NGC6063;9.04;0.38;-0.38;0.14;0.10;0.67;8.48;0.07;0.62;0.01
IC1199;9.03;0.64;-0.28;0.16;0.26;0.74;8.56;0.06;0.99;0.05
NGC6081;9.53;0.29;-0.22;0.12;0.11;0.76;nan;nan;1.59;0.30
UGC10331;8.73;0.42;-0.38;0.14;0.45;0.98;8.39;0.05;0.93;0.06
NGC6125;9.78;0.21;-0.24;0.19;0.05;0.63;nan;nan;nan;nan
NGC6132;8.59;0.54;-0.30;0.14;0.29;0.77;8.43;0.08;0.76;0.02
NGC6146;9.59;0.19;-0.09;0.10;0.00;0.09;nan;nan;0.94;0.27
NGC6154;9.48;0.24;-0.28;0.15;0.05;0.52;8.51;0.06;1.00;0.03
UGC10380;8.71;0.66;-0.26;0.16;0.48;1.02;8.54;0.06;1.71;0.12
NGC6150;9.65;0.21;-0.15;0.15;0.05;0.43;nan;nan;0.62;0.62
UGC10384;8.52;0.47;-0.31;0.13;0.52;1.73;8.45;0.08;1.50;0.08
UGC10388;9.15;0.57;-0.19;0.17;0.18;0.78;8.48;0.08;1.34;0.15
NGC6173;9.81;0.16;-0.22;0.16;0.03;0.44;nan;nan;3.05;3.05
NGC6168;8.89;0.41;-0.34;0.16;0.34;1.34;8.41;0.05;1.08;0.05
UGC10650;8.22;0.55;-0.33;0.12;0.47;1.10;8.35;0.07;0.43;0.03
UGC10693;9.74;0.18;-0.28;0.15;0.05;0.79;nan;nan;7.64;7.39
UGC10695;9.57;0.32;-0.27;0.15;0.04;0.54;8.51;0.07;0.64;0.07
UGC10710;9.02;0.38;-0.23;0.21;0.69;1.30;8.48;0.06;1.25;0.05
NGC6310;9.39;0.39;-0.29;0.14;0.14;0.61;8.52;0.07;0.88;0.04
NGC6314;9.34;0.39;-0.31;0.16;0.20;1.23;8.50;0.07;2.02;0.36
NGC6338;9.72;0.30;-0.22;0.15;0.08;0.66;nan;nan;nan;nan
UGC10796;8.54;0.43;-0.23;0.11;0.16;0.65;8.38;0.07;0.39;0.02
UGC10811;8.41;0.39;-0.21;0.12;0.59;1.82;8.48;0.07;0.91;0.03
IC1256;9.08;0.36;-0.29;0.13;0.15;0.77;8.50;0.09;0.84;0.02
NGC6394;9.39;0.38;-0.31;0.15;0.20;1.21;8.54;0.05;1.53;0.09
UGC10905;9.53;0.30;-0.26;0.15;0.25;1.11;8.51;0.07;3.31;1.67
NGC6411;9.66;0.19;-0.21;0.14;0.00;0.15;8.49;0.08;nan;nan
NGC6427;9.51;0.40;-0.23;0.18;0.10;0.75;nan;nan;0.47;0.43
UGC10972;8.81;0.35;-0.24;0.14;0.50;1.11;8.46;0.07;0.74;0.02
NGC6478;8.57;0.31;-0.28;0.12;0.55;1.32;8.51;0.06;1.68;0.04
NGC6497;9.01;0.58;-0.21;0.13;0.28;0.79;8.55;0.06;0.74;0.02
